"(w1,w2)",pmi,"p(w1,w2)",p(w1),p(w2)
"('SPONGIFORM', 'ENCEPHALOPATHY')",13.980787737939261,4.767318533155111e-05,6.3569325257790105e-06,6.3569325257790105e-06
"('YING-', 'JEOU')",13.753401810289462,5.493767071540652e-05,7.556353757058069e-06,7.736266941749928e-06
"('BOVINE', 'SPONGIFORM')",13.74219354753707,4.676512465856919e-05,7.916180126441786e-06,6.3569325257790105e-06
"('ALMA', 'MATER')",13.72335111317042,5.085139768698785e-05,8.156064372697598e-06,6.836701018290634e-06
"('SRI', 'LANKA')",13.648121184206534,5.947797408031615e-05,8.815746049901081e-06,7.97615118800574e-06
"('KUALA', 'LUMPUR')",13.320891125575708,9.171412797117452e-05,1.2354038682174304e-05,1.2174125497482444e-05
"('SAO', 'TOME')",13.25035753542582,8.535770326030104e-05,1.2713865051558021e-05,1.1814299128098728e-05
"('AU', 'OPTRONICS')",13.190920562659645,7.3552914511536e-05,1.3013720359377785e-05,1.0554906835255716e-05
"('ERIC', 'LILUAN')",13.167148945086922,6.311021677224386e-05,1.4273112652220797e-05,8.455919680517363e-06
"('QIAN', 'QICHEN')",13.124081347504465,5.539170105189748e-05,1.4992765390988232e-05,7.37644057236621e-06
"('BARACK', 'OBAMA')",13.095150747156108,4.767318533155111e-05,6.3569325257790105e-06,1.5412562821935905e-05
"('SAUDI', 'ARABIA')",13.073457240098236,9.580040099959319e-05,1.553250494506381e-05,1.2953749297813833e-05
"('EN', 'MASSE')",12.905023716409392,5.085139768698785e-05,1.8651000146389362e-05,6.776729956726681e-06
"('BONE', 'MARROW')",12.805018965195487,5.947797408031615e-05,1.6611984053214963e-05,9.83525409648828e-06
"('PERNG', 'FAI-NAN')",12.709687026441651,6.447230778171674e-05,2.1949408532406773e-05,8.875717111465033e-06
"('YIIN', 'CHII-MING')",12.693106195873417,5.7661852734352296e-05,2.25491191480463e-05,7.856209064877834e-06
"('SYMPHONY', 'ORCHESTRA')",12.69080033080635,4.676512465856919e-05,8.575861803645269e-06,1.679189723790682e-05
"('BETEL', 'NUT')",12.689990941850793,8.626576393328297e-05,2.110981367051143e-05,1.2593922928430115e-05
"('AD', 'HOC')",12.67989596413661,0.00012576640320799675,2.35686271946335e-05,1.6611984053214963e-05
"('BURKINA', 'FASO')",12.679756456597994,0.00017389361887603882,2.314882976368583e-05,2.3388714009941643e-05
"('ZHU', 'RONGJI')",12.62716797826469,6.855858081013541e-05,2.4048395687145126e-05,9.355485603976658e-06
"('MAD', 'COW')",12.58397340001845,0.000147105829023072,2.045013199330795e-05,2.4648106302784655e-05
"('KIDD-CLASS', 'DESTROYERS')",12.57789988046414,5.448364037891556e-05,8.156064372697598e-06,2.3028887640557926e-05
"('BETEL', 'NUTS')",12.51286362782329,6.538036845469866e-05,2.110981367051143e-05,1.1394501697151057e-05
"('P-3C', 'ANTI-SUBMARINE')",12.502344178113676,5.3575579705933635e-05,1.0315022588999903e-05,1.9310681823592845e-05
"('NAUTICAL', 'MILES')",12.47608069579677,0.0001534622537339455,2.086992942425562e-05,2.806645681192997e-05
"('YAUNG', 'CHIH-LIANG')",12.430233178126699,6.129409542628e-05,2.704694876534277e-05,9.055630296156892e-06
"('MAO', 'CHI-KUO')",12.360925049261255,4.994333701400593e-05,3.184463369045901e-05,6.716758895162728e-06
"('SHIEH', 'JHY-WEY')",12.351702553468,5.2667519032951705e-05,3.2444344306098534e-05,7.0166142029824925e-06
"('POUND', 'STERLING')",12.350940540230035,0.0002220208345440809,3.196457581358691e-05,3.004550184354042e-05
